Rank,Country/Territory,GDP (in millions)
,World,136713677
1,China,23523358
2,United States,21433226
3,India,9560220
4,Japan,5504331
5,Germany,4782655
6,Russia,4433093
7,France,3419582
8,Indonesia,3338144
9,United Kingdom,3337149
10,Brazil,3229055
11,Italy,2756952
12,Mexico,2671946
13,Turkey,2347133
14,South Korea,2275781
15,Spain,2047649
16,Canada,1942196
17,Saudi Arabia,1680540
18,Australia,1353983
19,Thailand,1342165
20,Poland,1335254
21,Egypt,1233148
22,Nigeria,1077719
23,Iran,1072697
24,Netherlands,1062244
25,Pakistan,1060748
26,Argentina,1035401
27,Philippines,1005742
28,Malaysia,946342
29,Vietnam,809994
30,Bangladesh,809376
31,Colombia,806058
32,South Africa,763258
33,United Arab Emirates,684810
34,Belgium,647109
35,Romania,645346
36,Switzerland,620612
37,Sweden,582487
38,Singapore,579763
39,Ukraine,562213
40,Austria,536335
41,Algeria,517495
42,Chile,511748
43,Kazakhstan,509458
44,Czech Republic,472625
45,Hong Kong,469182
46,Iraq,446665
47,Ireland,443167
48,Peru,436174
49,Portugal,389400
50,Israel,388367
51,Norway,374384
52,Denmark,361273
53,Greece,348349
54,Hungary,341619
55,Sri Lanka,297760
56,Finland,293524
57,Morocco,291655
58,Myanmar,290208
59,Qatar,266295
60,Ethiopia,259990
61,Uzbekistan,245421
62,Kenya,237712
63,New Zealand,223144
64,Angola,221679
65,Kuwait,219020
66,Dominican Republic,206486
67,Ecuador,206377
68,Belarus,189309
69,Slovak Republic,182798
70,Bulgaria,176571
71,Sudan,175727
72,Ghana,171926
73,Tanzania,156414
74,Azerbaijan,150763
75,Guatemala,149763
76,Oman,141824
77,Côte d'Ivoire,139981
78,Panama,139499
79,Serbia,135393
80,Tunisia,131350
81,Croatia,126625
82, Puerto Rico,115117
83,Lithuania,111519
84,Costa Rica,109722
85,Libya,107393
86,Jordan,106240
87,Bolivia,104891
88,Lebanon,104176
89,Nepal,102076
90,Uganda,101124
91,Congo Democratic Republic of the,99508
92,Cameroon,98420
93,Paraguay,93317
94,Turkmenistan,88975
95,Slovenia,88594
96,Macau,82906
97,Afghanistan,82034
98,Uruguay,77942
99,Luxembourg,77233
100,Bahrain,77139
101,Cambodia,75558
102,Zambia,64729
103,Latvia,63162
104,El Salvador,59143
105,Laos,58594
106,Honduras,58296
107,Georgia,58245
108,Senegal,57772
109,Bosnia and Herzegovina,53769
110,Estonia,53045
111,Mali,47658
112,Madagascar,46385
113,Burkina Faso,46225
114,Zimbabwe,43372
115,Botswana,42740
116,Armenia,42171
117,Albania,41809
118,Mongolia,41482
119,Mozambique,40633
120,Benin,40511
121,Papua New Guinea,39910
122,Trinidad and Tobago,38130
123,North Macedonia,37727
124,Cyprus,37706
125,Nicaragua,36959
126,Moldova,36216
127,Kyrgyzstan,35420
128,Haiti,34172
129,Guinea,34169
130,Gabon,33918
131,Tajikistan,32897
132,West Bank and Gaza,30432
133,Mauritius,30228
134,Jamaica,30053
135,Niger,29807
136,Rwanda,29363
137,Brunei,28098
138,Chad,26305
139,Equatorial Guinea,26278
140,Namibia,25104
141,Mauritania,24561
142,Malta,23915
143,Iceland,21727
144,Kosovo,21299
145,Congo Republic of the,20638
146,Malawi,20615
147,Bahamas The,15090
148,Montenegro,14954
149,Sierra Leone,14019
150,Togo,13476
151,Fiji,12717
152,Maldives,10829
153,Guyana,10694
154,Eswatini,10337
155,Suriname,10032
156,Bhutan,9429
157,Burundi,9051
158,Liberia,7362
159,Lesotho,6002
160,Djibouti,5627
161,Gambia The,5450
162,Timor-Leste,4797
163, Cayman Islands,4703
164,Barbados,4687
165,Central African Republic,4682
166,Cape Verde,4119
167, Aruba,4051
168, Curaçao,4027
169,Guinea-Bissau,3991
170,Seychelles,2979
171,Saint Lucia,2949
172,Belize,2855
173,Comoros,2718
174,Antigua and Barbuda,2222
175,San Marino,2057
176,Grenada,1993
177,Solomon Islands,1863
178, Sint Maarten (Dutch part),1472
179,Saint Kitts and Nevis,1459
180,St. Vincent and the Grenadines,1442
181,Samoa,1339
182, Turks and Caicos Islands,1167
183,Vanuatu,987
184,Dominica,894
185,Sao Tome and Principe,891
186,Tonga,697
187,Micronesia Federated States of,400
188,Palau,331
189,Kiribati,279
190,Marshall Islands,233
191,Nauru,152
192,Tuvalu,52
