Rank,Country/Territory,Int$
1,Luxembourg,121293
2,Singapore,101649
3,Qatar,94029
4,Ireland,88241
5,Switzerland,70989
6,United Arab Emirates,70089
7,Norway,66832
8,United States,65298
9,Brunei,64848
10,San Marino (2018),60887
11,Denmark,60179
12,Iceland,60061
13,Netherlands,59554
14,Austria,58946
15,Germany,56278
16,Sweden,55820
17,Belgium,54905
18,Australia,53469
19,Kuwait,52060
20,Finland,51426
21,Canada,51342
22,France,49435
23,Saudi Arabia,49040
24,United Kingdom,48698
25,Bahrain,47003
26,Malta,46279
27,Italy,44248
28,New Zealand,43953
29,Czech Republic,43300
30,Japan,43236
31,South Korea,43143
32,Spain,42195
33,Israel,42146
34,Cyprus,41254
35,Slovenia,40983
36,Estonia,38915
37,The Bahamas,38743
38,Lithuania,38502
39,Portugal,36639
40,Hungary,34507
41,Poland,34431
42,Slovakia,34067
43,Panama,32851
44,Romania,32297
45,Latvia,32191
46,Greece,30722
47,Seychelles,30517
48,Croatia,30141
49,Malaysia,29620
50,Russia,29181
51,Oman,28508
52,Turkey,28134
53,Saint Kitts and Nevis,27608
54,Kazakhstan,27518
55,Trinidad and Tobago,27334
56,Chile,25155
57,Bulgaria,24790
58,Mauritius,23882
59,Montenegro,23189
60,Argentina,23040
61,Antigua and Barbuda,22880
62,Uruguay,22515
63,Costa Rica,20444
64,Mexico,20582
65,Maldives,20396
66,Belarus,19997
67,Equatorial Guinea,19379
68,Thailand,19277
69,Dominican Republic,19228
70,Serbia,19013
71,Botswana,18553
72,Palau,18357
73,Grenada,17793
74,North Macedonia,17608
75,Venezuela (2011),17527
76,Suriname,17256
77,China,16830
78,Barbados,16331
79,Saint Lucia,16132
80,Bosnia and Herzegovina,15883
81,Libya,15846
82,Georgia,15656
83,Colombia,15635
84,Gabon,15612
85,Brazil,15300
86,Turkmenistan,15207
87,Lebanon,15196
88,Azerbaijan,15041
89,Albania,14496
90,Fiji,14290
91,Armenia,14258
92,Guyana,13661
93,Sri Lanka,13657
94,Moldova,13627
95,Peru,13416
96,Ukraine,13341
97,Paraguay,13247
98,Saint Vincent and the Grenadines,13038
99,South Africa,13034
100,Iran,12938
101,Mongolia,12863
102,Dominica,12444
103,Bhutan,12356
104,Indonesia,12335
105,Egypt,12284
106,Nauru,12095
107,Algeria,12020
108,Ecuador,11879
109,Iraq,11363
110,Tunisia,11232
111,Jordan,10517
112,Jamaica,10194
113,Namibia,10064
114,Philippines,9302
115,El Salvador,9164
116,Bolivia,9111
117,Guatemala,9020
118,Eswatini,9003
119,Vietnam,8397
120,Laos,8173
121,Morocco,7826
122,Cape Verde,7489
123,Belize,7315
124,Uzbekistan,7308
125,India,6997
126,Angola,6966
127,Samoa,6796
128,Tonga,6666
129,Honduras,5982
130,Djibouti,5780
131,Ghana,5652
132,Nicaragua,5646
133,Kyrgyzstan,5486
134,Côte d'Ivoire,5443
135,Mauritania,5427
136,Myanmar,5370
137,Nigeria,5363
138,Bangladesh,4964
139,Pakistan,4898
140,Cambodia,4583
141,Papua New Guinea,4548
142,Kenya,4522
143,Tuvalu,4471
144,São Tomé and Príncipe,4145
145,Sudan,4123
146,Marshall Islands,3983
147,Republic of the Congo,3836
148,Cameroon,3804
149,Timor-Leste,3710
150,Yemen (2013),3689
151,Zambia,3624
152,Nepal,3568
153,Federated States of Micronesia,3548
154,Senegal,3545
155,Tajikistan,3529
156,Benin,3433
157,Vanuatu,3293
158,Comoros,3195
159,Haiti,3034
160,Zimbabwe,2961
161,Lesotho,2824
162,Solomon Islands,2781
163,Tanzania,2771
164,Guinea,2676
165,Mali,2424
166,Kiribati,2373
167,Rwanda,2325
168,The Gambia,2321
169,Ethiopia,2320
170,Uganda,2284
171,Burkina Faso,2273
172,Afghanistan,2156
173,Guinea-Bissau,2077
174,Sierra Leone,1794
175,Madagascar,1720
176,Togo,1667
177,Chad,1650
178,Eritrea (2011),1626
179,South Sudan (2014),1496
180,Liberia,1491
181,Mozambique,1338
182,Niger,1279
183,Democratic Republic of the Congo,1147
184,Malawi,1107
185,Central African Republic,988
186,Burundi,785
